Program;Length;WS;AS I;AS II;Test;Substitution
+o+ooo-oo;9;[('1010', ''), ('10', '')];[('00111', '1'), ('111', '')];[('1', ''), ('0111', '1'), ('100', '')];[('101', ''), ('0', '1'), ('11', ''), ('00', '1'), ('10', '')];0
+o+ooo-o+o;10;[('01010', '1')];[('101', ''), ('0101', '1')];[('110', ''), ('111', ''), ('1', '')];[('01', '1'), ('010', '1'), ('0', '1'), ('001', '1'), ('011', '1')];0
+o+oooo-o;9;[('01', '1'), ('00', '1')];[('1011', ''), ('011', '1')];[('11', ''), ('11011', ''), ('1', '')];[('10', ''), ('01', '1'), ('00', '1'), ('11100', ''), ('100', '')];0
+o+ooooo;8;[('01', '1'), ('10', ''), ('1', '')];[('0', '1'), ('10', '')];[('11', ''), ('0110', '1'), ('00', '1')];[('01', '1'), ('110', ''), ('111', ''), ('10110', ''), ('000', '1')];0
-o-ooooo;8;[('011', ''), ('11', '0')];[('0011', ''), ('0100', '')];[('0101', ''), ('0110', ''), ('11', '0')];[('011', ''), ('1', '0'), ('10011', '0'), ('10', '0'), ('10100', '0')];0
-o-oooo+o;9;[('0101', ''), ('1', '0')];[('01', ''), ('10001', '0')];[('0001', ''), ('10', '0'), ('001', '')];[('10010', '0'), ('11', '0'), ('1', '0'), ('010', ''), ('00', '')];0
-o-ooo+o-o;10;[('11', '0'), ('0', ''), ('00', '')];[('00100', ''), ('100', '0')];[('0100', ''), ('00', ''), ('0', '')];[('101', '0'), ('00101', ''), ('00110', ''), ('00111', ''), ('110', '0')];0
-o-ooo+oo;9;[('01', ''), ('0111', '')];[('0', ''), ('000', '')];[('11000', '0'), ('001', ''), ('1000', '0')];[('1', '0'), ('010', ''), ('011', ''), ('1001', '0'), ('100', '0')];0
-[o-oo<-];9;[('101', '0'), ('00', '')];[('11100', '0'), ('1100', '0')];[('1101', '0'), ('11101', '0'), ('0', '')];[('1110', '0'), ('1111', '0'), ('00', ''), ('01', ''), ('1', '0')];0
>-o-[o<+o+];11;[('01', '0'), ('1', '10')];[('11111', '0'), ('1', '10')];[('0', '101'), ('11', '0'), ('111', '0')];[('00', ''), ('1111', '0'), ('11100', '0'), ('100', ''), ('11101', '0')];0
-o-oo+oo-o;10;[('11101', '0')];[('01', ''), ('01001', '')];[('1001', '0'), ('10', '0'), ('1010', '0')];[('1011', '0'), ('1100', '0'), ('001', ''), ('11', '0'), ('1', '0')];0
-o-oo+ooo;9;[('0', ''), ('1', '0'), ('10', '0')];[('10100', '0'), ('00', '')];[('0', ''), ('10101', '0'), ('01', '')];[('0100', ''), ('100', '0'), ('10110', '0'), ('10', '0'), ('11', '0')];0
-o-o+o-ooo;10;[('0010', ''), ('1', '0')];[('01100', ''), ('01101', '')];[('100', '0'), ('1100', '0'), ('101', '0')];[('00', ''), ('01110', ''), ('110', '0'), ('111', '0'), ('0', '')];0
-o-o+o-oo+o;11;[('010', ''), ('01', ''), ('0', '')];[('0', ''), ('1000', '0')];[('000', ''), ('001', ''), ('00', '')];[('01000', ''), ('1', '0'), ('01', ''), ('1001', '0'), ('010', '')];0
>-[o-o<-];9;[('0000', ''), ('00', '')];[('1', '100'), ('101', '')];[('01', '0'), ('0', '10'), ('11101', '0')];[('11110', '0'), ('11111', '0'), ('110', '0'), ('01110', '0'), ('111', '0')];0
>+[+o<+o]o;10;[('1100', ''), ('11', '')];[('1011', ''), ('01011', '')];[('01100', ''), ('1100', ''), ('1', '1')];[('1101', ''), ('1110', ''), ('0', '11'), ('1111', ''), ('011', '')];0
-o-o+oo-oo;10;[('11', '0'), ('1', '0'), ('0', '')];[('0', ''), ('000', '')];[('1', '0'), ('00', ''), ('1000', '0')];[('01000', ''), ('01', ''), ('10', '0'), ('11', '0'), ('001', '')];0
-[o-o+o<-];10;[('111', '0'), ('1', '0')];[('1110', '0'), ('1111', '0')];[('01110', ''), ('1011', '0'), ('10', '0')];[('11', '0'), ('0', ''), ('1100', '0'), ('110', '0'), ('1101', '0')];0
-o-o+ooo-o;10;[('010', ''), ('0', ''), ('01', '')];[('1011', '0'), ('1100', '0')];[('011', ''), ('11', '0'), ('100', '0')];[('101', '0'), ('1101', '0'), ('10', '0'), ('11011', '0'), ('1', '0')];0
-o-o+oooo;9;[('11', '0'), ('000', '')];[('01', ''), ('001', '')];[('00001', ''), ('0001', ''), ('1', '0')];[('0', ''), ('00010', ''), ('00011', ''), ('00100', ''), ('0010', '')];0
>-[oo<+];8;[('1', '11'), ('100', '')];[('0', '111100'), ('000', '')];[('00', ''), ('1', '11'), ('01', '001100')];[('1000', ''), ('10', ''), ('1001', ''), ('001', ''), ('11000', '00')];0
-oo-ooo+o;9;[('00', ''), ('1', '00'), ('0', '')];[('0', ''), ('000', '')];[('00000', ''), ('001', ''), ('1', '00')];[('00', ''), ('01', ''), ('10', '00'), ('010', ''), ('00001', '')];0
-oo-oo+o-o;10;[('1', '00'), ('01', ''), ('0', '')];[('01', ''), ('10', '00')];[('00101', ''), ('00110', ''), ('00111', '')];[('11', '00'), ('101', '00'), ('01000', ''), ('110', '00'), ('0101', '')];0
->-[oo<-];9;[('000', ''), ('101', '')];[('01', '001111'), ('001', '')];[('0001', ''), ('1', '11'), ('0010', '')];[('0', '111111'), ('010', '001111'), ('0011', ''), ('00001', ''), ('0100', '001111')];0
>-[o<-o-]o;10;[('1', '10'), ('101', '')];[('01', '0'), ('10101', '')];[('101', ''), ('10110', ''), ('10111', '')];[('10', ''), ('1', '10'), ('0', '1'), ('11', '00'), ('110', '00')];0
>-o[o<+o+];10;[('10', ''), ('0001', '')];[('0011', ''), ('11', '00')];[('00011', ''), ('0100', '001'), ('011', '001')];[('0101', '001'), ('00100', ''), ('1', '11'), ('00101', ''), ('01', '001')];0
-[oo-o<-];9;[('1100', '00')];[('010', ''), ('11010', '00')];[('11011', '00'), ('11100', '00'), ('011', '')];[('100', '00'), ('11101', '00'), ('0', ''), ('11110', '00'), ('101', '00')];0
-oo-o+ooo;9;[('01110', ''), ('0', '')];[('1', '00'), ('01', '')];[('10', '00'), ('101', '00'), ('0', '')];[('11101', '00'), ('110', '00'), ('111', '00'), ('000', ''), ('11110', '00')];0
-[ooo-];7;[('00', ''), ('0001', '')];[('010', ''), ('10', '000')];[('011', ''), ('11010', '000'), ('100', '000')];[('11011', '000'), ('11', '000'), ('11100', '000'), ('00', ''), ('1010', '000')];0
-ooo-oo+o;9;[('00000', ''), ('0', '')];[('00101', ''), ('0101', '')];[('1', '000'), ('0110', ''), ('101', '000')];[('01', ''), ('110', '000'), ('10', '000'), ('0111', ''), ('1000', '000')];0
>-o[o<-o-];10;[('1010', ''), ('00', '')];[('01101', '00'), ('1', '110')];[('01110', '00'), ('0', '11'), ('101', '')];[('110', '000'), ('111', '000'), ('01', '00'), ('100', ''), ('001', '')];0
-ooo-o+oo;9;[('0100', ''), ('00', '')];[('10100', '000'), ('10101', '000')];[('0100', ''), ('00', ''), ('10110', '000')];[('0101', ''), ('0110', ''), ('01', ''), ('0', ''), ('1', '000')];0
-oooo-oo;8;[('0001', ''), ('01', '')];[('0', ''), ('00000', '')];[('1', '0000'), ('00', ''), ('00001', '')];[('01', ''), ('00010', ''), ('10', '0000'), ('11', '0000'), ('00011', '')];0
-oooo-o+o;9;[('0110', ''), ('01', '')];[('01', ''), ('10001', '0000')];[('0001', ''), ('10010', '0000'), ('10', '0000')];[('001', ''), ('11', '0000'), ('010', ''), ('10011', '0000'), ('10100', '0000')];0
-ooooo-o;8;[('00011', ''), ('0', '')];[('0110', ''), ('10110', '00000')];[('10111', '00000'), ('10', '00000'), ('0111', '')];[('1000', '00000'), ('110', '00000'), ('11000', '00000'), ('11', '00000'), ('111', '00000')];0
-oooooo;7;[('00', ''), ('0010', '')];[('01', ''), ('1001', '000000')];[('001', ''), ('11001', '000000'), ('010', '')];[('011', ''), ('11010', '000000'), ('10', '000000'), ('11', '000000'), ('1010', '000000')];0
-[+o];5;[('0', ''), ('1', '1')];[('01', ''), ('0001', '')];[('10', '1'), ('11', '1'), ('0010', '')];[('0011', ''), ('10001', '1'), ('', ''), ('00', ''), ('001', '')];1
[<+]+o;6;[('1', ''), ('11', '')];[('01', ''), ('10', '')];[('11', ''), ('101', ''), ('1101', '')];[('110', ''), ('111', ''), ('00', ''), ('0', ''), ('1110', '')];0
[<-]-o;6;[('11', ''), ('0', '')];[('01', ''), ('1', '')];[('101', ''), ('110', ''), ('111', '')];[('001', ''), ('010', ''), ('011', ''), ('100', ''), ('10', '')];0
-[-ooo];7;[('0001', '')];[('00101', ''), ('01', '')];[('00110', ''), ('00111', ''), ('101', '')];[('1', ''), ('110', ''), ('01000', ''), ('111', ''), ('0101', '')];0
-[>+o<-o];9;[('0110', '')];[('01110', ''), ('1', '0')];[('1110', ''), ('10', '1'), ('1111', '')];[('11', ''), ('110', ''), ('01111', ''), ('0100', ''), ('0101', '')];0
-[-o<-o];8;[('101', ''), ('1', '')];[('1', ''), ('00', '')];[('01', ''), ('10', ''), ('0000', '')];[('0001', ''), ('11', ''), ('000', ''), ('001', ''), ('00000', '')];0
-[<+o+oo];9;[('1', '011')];[('01101', ''), ('1101', '011')];[('01', ''), ('1', '011'), ('101', '011')];[('1110', '011'), ('10', '011'), ('110', '011'), ('111', '011'), ('11', '011')];0
-[o-o];6;[('0110', '')];[('1011', '0'), ('011', '')];[('100', '0'), ('1', '0'), ('1100', '0')];[('101', '0'), ('01011', ''), ('11', '0'), ('1101', '0'), ('1110', '0')];0
-[o<+o+];8;[('0100', '')];[('010', ''), ('011', '')];[('10', '001'), ('100', '001'), ('1', '001')];[('0010', ''), ('10010', '001'), ('0011', ''), ('0100', ''), ('0101', '')];0
-o[o-];6;[('0111', '')];[('1', '00'), ('1111', '00')];[('0000', ''), ('11111', '00'), ('0001', '')];[('111', '00'), ('11', '00'), ('0010', ''), ('000', ''), ('00', '')];0
>[<o];5;[('', ''), ('111', '1')];[('1110', '1'), ('110', '1')];[('01110', '0'), ('', ''), ('111', '1')];[('01111', '0'), ('1111', '1'), ('1100', '1'), ('10000', '1'), ('1', '')];0
+[-oo];6;[('1110', '')];[('01', '00'), ('0001', '00')];[('10001', ''), ('10', ''), ('0010', '00')];[('10010', ''), ('10011', ''), ('', ''), ('0011', '00'), ('10100', '')];0
+[>+o<-];8;[('000', '1')];[('010', ''), ('10', '')];[('0010', '1'), ('', '0'), ('11', '')];[('0011', '1'), ('00', '1'), ('00010', '1'), ('00011', '1'), ('0100', '')];0
+[o-];5;[('00', '10')];[('10', ''), ('01110', '10')];[('', '0'), ('1110', ''), ('11', '')];[('01111', '10'), ('110', ''), ('1111', ''), ('111', ''), ('10000', '')];0
+o[o+];6;[('01', '11')];[('01', '11'), ('001', '11')];[('0001', '11'), ('010', '11'), ('011', '11')];[('0010', '11'), ('00001', '11'), ('00010', '11'), ('0', '11'), ('100', '')];0
+[o<-o-];8;[('0', '110')];[('01', '110'), ('1001', '')];[('10', ''), ('1010', ''), ('001', '110')];[('0', '110'), ('1011', ''), ('1100', ''), ('11', ''), ('010', '110')];0
+[o+o];6;[('001', '1')];[('11100', ''), ('0', '1')];[('11101', ''), ('100', ''), ('101', '')];[('00', '1'), ('1100', ''), ('01', '1'), ('110', ''), ('10', '')];0
+[<-o-oo];9;[('1110', '')];[('01', '100'), ('10001', '')];[('0001', '100'), ('10010', ''), ('10', '')];[('11', ''), ('10011', ''), ('0', '100'), ('0010', '100'), ('0011', '100')];0
+[+o<+o];8;[('0001', '')];[('10', ''), ('110', '')];[('11', ''), ('111', ''), ('11110', '')];[('0', ''), ('001', ''), ('010', ''), ('100', ''), ('00', '')];0
+[>-o<+o];9;[('010', '0')];[('00100', ''), ('0', '1')];[('0100', '0'), ('100', ''), ('101', '')];[('00', ''), ('110', ''), ('111', ''), ('0101', '0'), ('000', '')];0
+[+ooo];7;[('1010', '')];[('010', ''), ('10', '')];[('0', ''), ('11010', ''), ('011', '')];[('11011', ''), ('11', ''), ('1010', ''), ('00', ''), ('01', '')];0
>>+o;4;[('', '0'), ('001', '')];[('0', '0'), ('00', '0')];[('1', '0'), ('01', '0'), ('00000', '1')];[('10', '0'), ('0000', '1'), ('11', '0'), ('000', '1'), ('00001', '1')];1
>>-o;4;[('', '1'), ('110', '')];[('0011', '0'), ('10011', '')];[('10100', '0'), ('1', '1'), ('11', '1')];[('00', '1'), ('10', '1'), ('0', '1'), ('10101', '0'), ('0100', '')];1
>-[<o];6;[('0010', '')];[('1100', '1'), ('01100', '0')];[('1101', '1'), ('01', '0'), ('', '')];[('1', '1'), ('01101', '0'), ('10', ''), ('11', '1'), ('100', '')];0
>+[+o];6;[('0101', '')];[('1', '1'), ('0001', '')];[('00001', ''), ('00010', ''), ('00011', '')];[('10', ''), ('0010', ''), ('11', ''), ('00', ''), ('0011', '')];0
>-[-o];6;[('1110', '')];[('11', ''), ('0010', '')];[('', '0'), ('00010', ''), ('0011', '')];[('010', ''), ('0100', ''), ('011', ''), ('100', ''), ('101', '')];0
>+[<o];6;[('1110', '')];[('10101', '1'), ('01', '')];[('', ''), ('0101', ''), ('10', '1')];[('00', '0'), ('0110', ''), ('0', '0'), ('10110', '1'), ('0111', '')];0
>o>o;4;[('111', '11')];[('10', '0'), ('00110', '01')];[('', ''), ('0', ''), ('111', '11')];[('010', '10'), ('011', '11'), ('00111', '01'), ('01000', '10'), ('100', '00')];0
>ooo;4;[('10', '000')];[('1110', '111'), ('11110', '111')];[('', ''), ('110', '111'), ('11', '111')];[('0', ''), ('00', '000'), ('111', '111'), ('01', '111'), ('11111', '111')];1
oo>o;4;[('', ''), ('11', '111')];[('11110', '111'), ('', '')];[('0', '00'), ('11', '111'), ('110', '111')];[('1', '11'), ('00', '000'), ('11111', '111'), ('1110', '111'), ('1111', '111')];0
>oo<o;5;[('', ''), ('11', '111')];[('11', '111'), ('1010', '001')];[('01010', '110'), ('1011', '001'), ('0', '')];[('1100', '111'), ('010', '110'), ('1101', '111'), ('011', '110'), ('1', '')];0
-oo>o;5;[('001', ''), ('01', '')];[('0110', ''), ('0111', '')];[('10', '000'), ('110', '001'), ('', '11')];[('1000', '000'), ('0', ''), ('1', '00'), ('00', ''), ('111', '001')];0
o+o>o;5;[('1110', '1')];[('', ''), ('11000', '1')];[('01', '011'), ('1000', '1'), ('0', '01')];[('1', '1'), ('10', '1'), ('1001', '1'), ('000', '010'), ('11', '1')];0
o>o<o;5;[('11', '111')];[('011', '010'), ('1011', '101')];[('', ''), ('1', '1'), ('100', '101')];[('0', '0'), ('00', '000'), ('101', '101'), ('110', '111'), ('01011', '010')];0
>o<o>o;6;[('00', '000')];[('10101', '010'), ('1', '')];[('0', ''), ('', ''), ('0101', '101')];[('101', '010'), ('0110', '101'), ('110', '111'), ('01', '101'), ('11', '111')];0
-o>o<o;6;[('00', ''), ('01', ''), ('', '1')];[('10', '000'), ('0110', '')];[('00110', ''), ('110', '010'), ('00', '')];[('', '1'), ('00111', ''), ('01000', ''), ('01001', ''), ('111', '010')];0
o>oo;4;[('01', '011')];[('', ''), ('00', '000')];[('10000', '100'), ('000', '000'), ('10001', '100')];[('10', '100'), ('10010', '100'), ('10011', '100'), ('0', '0'), ('1', '1')];1
>o<oo;5;[('00', '000')];[('11', '111'), ('0010', '000')];[('0', ''), ('10010', '011'), ('', '')];[('10011', '011'), ('00', '000'), ('10100', '011'), ('010', '100'), ('1', '')];0
-o>oo;5;[('011', ''), ('00', '')];[('01101', ''), ('101', '000')];[('', '1'), ('110', '011'), ('111', '011')];[('01110', ''), ('1101', '011'), ('1', '0'), ('01111', ''), ('011', '')];0
+o>oo;5;[('100', ''), ('10', '')];[('1', ''), ('0001', '100')];[('0', '1'), ('001', '100'), ('', '0')];[('00001', '100'), ('010', '111'), ('011', '111'), ('0010', '100'), ('100', '')];0
+o>o<o;6;[('1111', ''), ('', '0')];[('011', '111'), ('0011', '101')];[('0100', '111'), ('', '0'), ('01', '111')];[('0101', '111'), ('11', ''), ('100', ''), ('101', ''), ('10011', '')];0
o-o>o;5;[('0010', '0')];[('1100', '101'), ('1101', '101')];[('00', '0'), ('0', '0'), ('01100', '0')];[('100', '100'), ('', ''), ('1110', '101'), ('01101', '0'), ('01', '0')];0
+oo>o;5;[('10', ''), ('0', '11')];[('00110', '110'), ('110', '')];[('11', ''), ('0110', '111'), ('00111', '110')];[('01000', '111'), ('01001', '111'), ('111', ''), ('0111', '111'), ('', '00')];0
oooo;4;[('0', '0000')];[('1', '1111'), ('10', '1111')];[('11', '1111'), ('1110', '1111'), ('1111', '1111')];[('0001', '0000'), ('11110', '1111'), ('11111', '1111'), ('00', '0000'), ('110', '1111')];1
ooo+o;5;[('', ''), ('11', '111')];[('1100', '111'), ('11100', '111')];[('11101', '111'), ('00', '0001'), ('11110', '111')];[('1101', '111'), ('11111', '111'), ('100', '111'), ('00111', '0001'), ('1110', '111')];0
-ooo+o;6;[('0111', ''), ('0', '')];[('011', ''), ('', '111')];[('11', '0001'), ('00011', ''), ('0011', '')];[('0100', ''), ('0', ''), ('0101', ''), ('00100', ''), ('00', '')];0
oo+o-o;6;[('101', '11')];[('', ''), ('00', '0010')];[('1', '11'), ('000', '0010'), ('00000', '0010')];[('0000', '0010'), ('00001', '0010'), ('0001', '0010'), ('01', '0010'), ('0010', '0010')];0
-oo+o-o;7;[('', '11'), ('0', ''), ('01', '')];[('', '11'), ('0', '')];[('00', ''), ('01', ''), ('000', '')];[('0000', ''), ('0001', ''), ('10', '0010'), ('11', '0010'), ('001', '')];0
oo+oo;5;[('', ''), ('111', '11')];[('00101', '0011'), ('', '')];[('101', '11'), ('1', '11'), ('0101', '0011')];[('110', '11'), ('111', '11'), ('000', '0011'), ('010', '0011'), ('0110', '0011')];0
-oo+oo;6;[('00110', '')];[('0', ''), ('11001', '0011')];[('1001', '0011'), ('001', ''), ('', '11')];[('010', ''), ('011', ''), ('11010', '0011'), ('01', ''), ('11011', '0011')];0
o+o-oo;6;[('11', '1'), ('', ''), ('1', '1')];[('', ''), ('1', '1')];[('00', '0100'), ('000', '0100'), ('01', '0100')];[('10', '1'), ('001', '0100'), ('0000', '0100'), ('11', '1'), ('00000', '0100')];0
-o+o-oo;7;[('0', ''), ('00', ''), ('01', '')];[('', '1'), ('0111', '')];[('0', ''), ('111', '0100'), ('11', '0100')];[('1000', '0100'), ('00', ''), ('10111', '0100'), ('10', '0100'), ('01', '')];0
o+o-o+o;7;[('10', '1'), ('1', '1')];[('10111', '1'), ('11000', '1')];[('11001', '1'), ('11', '1'), ('01', '0101')];[('11010', '1'), ('1', '1'), ('0111', '0101'), ('111', '1'), ('1000', '1')];0
>>+[o<-];8;[('01111', '')];[('00111', ''), ('0', '01')];[('0111', ''), ('111', ''), ('01000', '10')];[('11', '0001'), ('101', ''), ('110', '1001'), ('1000', '1'), ('01', '00')];0
o+oo-o;6;[('1001', '1')];[('', ''), ('1000', '1')];[('1', '1'), ('00', '0110'), ('000', '0110')];[('001', '0110'), ('01', '0110'), ('010', '0110'), ('011', '0110'), ('10', '1')];0
-o+oo-o;7;[('01100', '')];[('', '1'), ('0', '')];[('11000', '0110'), ('1000', '0110'), ('1001', '0110')];[('1010', '0110'), ('00', ''), ('000', ''), ('11001', '0110'), ('11010', '0110')];0
o+ooo;5;[('', ''), ('1010', '1')];[('1', '1'), ('01', '0111')];[('10', '1'), ('00001', '0111'), ('11', '1')];[('00010', '0111'), ('0001', '0111'), ('0010', '0111'), ('0011', '0111'), ('00', '0111')];0
-o+ooo;6;[('00', ''), ('001', '')];[('1111', '0111'), ('11', '0111')];[('111', '0111'), ('', '1'), ('0', '')];[('11111', '0111'), ('01100', ''), ('00', ''), ('1100', '0111'), ('1101', '0111')];0
+o-ooo;6;[('11101', '')];[('011', '1000'), ('11', '')];[('0011', '1000'), ('00011', '1000'), ('00100', '1000')];[('1', ''), ('0100', '1000'), ('100', ''), ('0101', '1000'), ('101', '')];0
o-ooo;5;[('0111', '0')];[('', ''), ('01000', '0')];[('1000', '1000'), ('0', '0'), ('01001', '0')];[('00', '0'), ('01', '0'), ('000', '0'), ('10', '1000'), ('001', '0')];0
+o-oo+o;7;[('', '0'), ('1', ''), ('110', '')];[('1111', ''), ('11', '')];[('111', ''), ('01111', '1001'), ('1', '')];[('10000', ''), ('10001', ''), ('0100', '1001'), ('', '0'), ('10010', '')];0
o-oo+o;6;[('0', '0'), ('', ''), ('00', '0')];[('1100', '1001'), ('00', '0')];[('100', '1001'), ('', ''), ('01', '0')];[('01100', '0'), ('1101', '1001'), ('0', '0'), ('101', '1001'), ('1110', '1001')];0
>>-[o<+];8;[('11011', '')];[('10', '11'), ('1', '10')];[('01110', '0'), ('1110', '0'), ('1111', '0')];[('0111', '0'), ('1000', ''), ('110', ''), ('1001', ''), ('01111', '0')];0
o-o+o-o;7;[('0', '0'), ('00', '0')];[('0', '0'), ('11', '1010')];[('01', '0'), ('10', '1010'), ('10111', '1010')];[('0111', '0'), ('1000', '1010'), ('00', '0'), ('111', '1010'), ('11000', '1010')];0
+o-o+oo;7;[('', '0'), ('11', ''), ('10', '')];[('10', ''), ('11', '')];[('', '0'), ('010', '1011'), ('01010', '1011')];[('00', '1011'), ('011', '1011'), ('01', '1011'), ('1010', ''), ('01011', '1011')];0
o-o+oo;6;[('01', '0'), ('', ''), ('0', '0')];[('10101', '1011'), ('101', '1011')];[('0101', '0'), ('01', '0'), ('10110', '1011')];[('10', '1011'), ('0', '0'), ('0110', '0'), ('0111', '0'), ('11', '1011')];0
+oo-oo;6;[('1110', ''), ('1', '')];[('0100', '1100'), ('0101', '1100')];[('1', ''), ('', '00'), ('00', '1100')];[('01', '1100'), ('100', ''), ('10', ''), ('11', ''), ('101', '')];0
oo-oo;5;[('010', '00')];[('111', '1100'), ('', '')];[('0', '00'), ('1111', '1100'), ('11111', '1100')];[('01011', '00'), ('01100', '00'), ('01101', '00'), ('01110', '00'), ('011', '00')];0
+oo-o+o;7;[('11', ''), ('1', ''), ('', '00')];[('110', ''), ('10', '')];[('111', ''), ('11110', ''), ('', '00')];[('1110', ''), ('011', '1101'), ('1', ''), ('1111', ''), ('1011', '')];0
oo-o+o;6;[('', ''), ('011', '00')];[('', ''), ('000', '00')];[('0000', '00'), ('10000', '1101'), ('001', '00')];[('0', '00'), ('00', '00'), ('01', '00'), ('10', '1101'), ('0001', '00')];0
+ooo-o;6;[('11010', '')];[('01110', '1110'), ('10', '')];[('', '000'), ('01111', '1110'), ('1', '')];[('11', ''), ('110', ''), ('1110', ''), ('10000', ''), ('1111', '')];0
ooo-o;5;[('01', '000')];[('0', '000'), ('001', '000')];[('01', '000'), ('010', '000'), ('10', '1110')];[('11001', '1110'), ('011', '000'), ('11', '1110'), ('00', '000'), ('100', '1110')];0
>[+o];5;[('1101', '')];[('011', ''), ('11011', '')];[('11100', ''), ('11101', ''), ('11110', '')];[('1', ''), ('1011', '1'), ('100', '1'), ('11111', ''), ('01110', '')];0
-[o+];5;[('11', '01')];[('1011', '01'), ('01011', '')];[('011', ''), ('01100', ''), ('11', '01')];[('', '1'), ('1100', '01'), ('01', ''), ('10', '01'), ('01101', '')];0
-[>-o<+];8;[('0111', '')];[('10', ''), ('110', '0')];[('11', '0'), ('', '1'), ('111', '0')];[('00110', ''), ('00', ''), ('001', ''), ('00111', ''), ('0110', '')];0
-[+oo];6;[('', ''), ('11', '11')];[('0011', ''), ('11', '11')];[('01', ''), ('', ''), ('10', '11')];[('011', ''), ('10011', '11'), ('00', ''), ('0100', ''), ('10100', '11')];0
>[-o];5;[('0011', '')];[('', ''), ('00', '')];[('0', ''), ('01', '0'), ('10', '')];[('00000', ''), ('0000', ''), ('000', ''), ('001', ''), ('010', '0')];0
<+o;3;[('', '0'), ('00', '0')];[('11', '0'), ('110', '0')];[('0110', '0'), ('00110', '0'), ('0111', '0')];[('01', '0'), ('0', '0'), ('10', '0'), ('1000', '0'), ('1001', '0')];1
+[<]>o;6;[('001', '1')];[('01', '1'), ('111', '1')];[('10', '0'), ('001', '1'), ('00', '1')];[('0111', '1'), ('010', '1'), ('1000', '0'), ('1001', '0'), ('00111', '1')];0
>+o<o;5;[('0111', '')];[('1', '01'), ('00', '10')];[('1000', '11'), ('1001', '11'), ('01000', '')];[('01', ''), ('10', '11'), ('11', ''), ('000', '10'), ('001', '10')];0
