Program	Witness Set
>o<ooo>o	(('10', '01110'))
-o>ooo<o	(('11', '01110'))
o>oooo	(('01', '01111'))
>o<oooo	(('10', '01111'))
<-[o>o]	(('00', '10000'))
+o>ooo<o	(('00', '10001'))
o-ooo>o	(('11', '10001'))
[+o-o>o]	(('00', '10010'))
>o>+o[o<]	(('01', '10010'))
o-oo>o<o	(('11', '10010'))
+o>oo<oo	(('00', '10011'))
>[o<-o]	(('11', '10011'))
>+[o-o<+]	(('00', '10100'))
>[o-o<+]	(('01', '10100'))
<-[o-o>]	(('10', '10100'))
o-o>o<oo	(('11', '10100'))
<+[+o>o]	(('00', '10101'))
>o-[o+o<]	(('01', '10101'))
o-[o+o>]	(('10', '10101'))
o[-o+o>]	(('11', '10101'))
+[o-o>o]	(('01', '10110'))
[o-o>o]	(('11', '10110'))
+o>o<ooo	(('00', '10111'))
o-o>ooo	(('11', '10111'))
+oo>ooo	(('00', '11000'))
+oo>oo<o	(('00', '11001'))
oo-oo>o	(('11', '11001'))
+oo>o<o>o	(('00', '11010'))
+o[o-o>]	(('01', '11010'))
o[o-o>]	(('11', '11010'))
[+oo>o]	(('00', '11011'))
oo-o>oo	(('11', '11011'))
+ooo>oo	(('00', '11100'))
+ooo>o<o	(('00', '11101'))
ooo-o>o	(('11', '11101'))
+oooo>o	(('00', '11110'))
oooooo	(('0', '000000'))
ooooo+o	(('0', '000001'))
-ooooo+o	(('1', '000001'))
oooo+o-o	(('0', '000010'))
-oooo+o-o	(('1', '000010'))
oooo+oo	(('0', '000011'))
ooo+o-oo	(('0', '000100'))
-ooo+o-oo	(('1', '000100'))
ooo+o-o+o	(('0', '000101'))
>>+oo[o<-]	(('1', '000101'))
ooo+oo-o	(('0', '000110'))
-ooo+oo-o	(('1', '000110'))
[ooo+]	(('0', '000111'))
-[ooo+]	(('1', '000111'))
oo+o-ooo	(('0', '001000'))
-oo+o-ooo	(('1', '001000'))
[oo+o<+]	(('0', '001001'))
-[oo+o<+]	(('1', '001001'))
oo>>-[o<+]	(('0', '001010'))
>>+o[o<-]>o	(('1', '001010'))
oo+o-o+oo	(('0', '001011'))
>>+o[o<-]o	(('1', '001011'))
>+[oo<+]	(('0', '001100'))
->+[oo<+]	(('1', '001100'))
oo+oo-o+o	(('0', '001101'))
>>>+o[o<-]	(('1', '001101'))
oo+ooo-o	(('0', '001110'))
-oo+ooo-o	(('1', '001110'))
oo+oooo	(('0', '001111'))
-oo+oooo	(('1', '001111'))
o+o-oooo	(('0', '010000'))
-o+o-oooo	(('1', '010000'))
o+o-ooo+o	(('0', '010001'))
-o+o-ooo+o	(('1', '010001'))
[o+o-o<+]	(('0', '010010'))
-[o+o-o<+]	(('1', '010010'))
o+o-oo+oo	(('0', '010011'))
>+o>-[o<o]	(('1', '010011'))
o>>-[o<+]o	(('0', '010100'))
>>>+[o<-o-]	(('1', '010100'))
[o>-o<o+]	(('0', '010101'))
+>+[o+o<+]	(('1', '010101'))
o+o-o+oo-o	(('0', '010110'))
>>+[o<-]o>o	(('1', '010110'))
o+o-o+ooo	(('0', '010111'))
>>+[o<-]oo	(('1', '010111'))
o+oo-ooo	(('0', '011000'))
-o+oo-ooo	(('1', '011000'))
o+oo-oo+o	(('0', '011001'))
-o+oo-oo+o	(('1', '011001'))
o>>-o[o<+]	(('0', '011010'))
>>>+[o<-]>o	(('1', '011010'))
[o+oo<+]	(('0', '011011'))
-[o+oo<+]	(('1', '011011'))
o+ooo-oo	(('0', '011100'))
-o+ooo-oo	(('1', '011100'))
o+ooo-o+o	(('0', '011101'))
>>>>+[o<-]	(('1', '011101'))
o+oooo-o	(('0', '011110'))
-o+oooo-o	(('1', '011110'))
o+ooooo	(('0', '011111'))
-o+ooooo	(('1', '011111'))
+o-ooooo	(('0', '100000'))
o-ooooo	(('1', '100000'))
+o-oooo+o	(('0', '100001'))
o-oooo+o	(('1', '100001'))
>>>>-[o<+]	(('0', '100010'))
o-ooo+o-o	(('1', '100010'))
+o-ooo+oo	(('0', '100011'))
o-ooo+oo	(('1', '100011'))
+[o-oo<-]	(('0', '100100'))
[o-oo<-]	(('1', '100100'))
>>>-[o<+]>o	(('0', '100101'))
o>>+o[o<-]	(('1', '100101'))
+o-oo+oo-o	(('0', '100110'))
o-oo+oo-o	(('1', '100110'))
+o-oo+ooo	(('0', '100111'))
o-oo+ooo	(('1', '100111'))
>>-[o<+]oo	(('0', '101000'))
o-o+o-ooo	(('1', '101000'))
>>-[o<+]o>o	(('0', '101001'))
o-o+o-oo+o	(('1', '101001'))
+[o>+o<o-]	(('0', '101010'))
[o>+o<o-]	(('1', '101010'))
>>>-[o<+o+]	(('0', '101011'))
o>>+[o<-]o	(('1', '101011'))
>-o>+[o<o]	(('0', '101100'))
o-o+oo-oo	(('1', '101100'))
+[o-o+o<-]	(('0', '101101'))
[o-o+o<-]	(('1', '101101'))
+o-o+ooo-o	(('0', '101110'))
o-o+ooo-o	(('1', '101110'))
+o-o+oooo	(('0', '101111'))
o-o+oooo	(('1', '101111'))
+oo-oooo	(('0', '110000'))
oo-oooo	(('1', '110000'))
+oo-ooo+o	(('0', '110001'))
oo-ooo+o	(('1', '110001'))
>>>-o[o<+]	(('0', '110010'))
oo-oo+o-o	(('1', '110010'))
+>-[oo<-]	(('0', '110011'))
>-[oo<-]	(('1', '110011'))
>>-o[o<+]o	(('0', '110100'))
oo-o+o-oo	(('1', '110100'))
>>-o[o<+]>o	(('0', '110101'))
oo>>+[o<-]	(('1', '110101'))
+[oo-o<-]	(('0', '110110'))
[oo-o<-]	(('1', '110110'))
+oo-o+ooo	(('0', '110111'))
oo-o+ooo	(('1', '110111'))
+[ooo-]	(('0', '111000'))
[ooo-]	(('1', '111000'))
+ooo-oo+o	(('0', '111001'))
ooo-oo+o	(('1', '111001'))
>>-oo[o<+]	(('0', '111010'))
ooo-o+o-o	(('1', '111010'))
+ooo-o+oo	(('0', '111011'))
ooo-o+oo	(('1', '111011'))
oooo-oo	(('1', '111100'))
+oooo-o+o	(('0', '111101'))
oooo-o+o	(('1', '111101'))
+ooooo-o	(('0', '111110'))
ooooo-o	(('1', '111110'))
+ooooooo	(('', '0000000'))
+oooooo+o	(('', '0000001'))
+ooooo+o-o	(('', '0000010'))
+ooooo+oo	(('', '0000011'))
+oooo+o-oo	(('', '0000100'))
>+oo[o<+o+]	(('', '0000101'))
+oooo+oo-o	(('', '0000110'))
+o[ooo+]	(('', '0000111'))
+ooo+o-ooo	(('', '0001000'))
>+[o<+oo+]	(('', '0001001'))
>+oo[o<-o-]	(('', '0001010'))
>+o[o<+o+]o	(('', '0001011'))
+>>+[o<+o]	(('', '0001100'))
+ooo+oo-o+o	(('', '0001101'))
+[ooo+]+o	(('', '0001110'))
+[ooo+o]	(('', '0001111'))
+oo+o-oooo	(('', '0010000'))
+[oo+o<+o]	(('', '0010001'))
>+[o<+o+o-]	(('', '0010010'))
+[oo+o<+]o	(('', '0010011'))
>+o[o<-o-]o	(('', '0010100'))
>>+[o<+o+]	(('', '0010101'))
-[>+oo<o-o]	(('', '0010110'))
>+[o<+o+]oo	(('', '0010111'))
+>+[oo<+]o	(('', '0011000'))
+>+[oo<+]>o	(('', '0011001'))
>+oo+[o<-o-]	(('', '0011010'))
>+[o<+o+o]	(('', '0011011'))
+oo+ooo-oo	(('', '0011100'))
+oo+ooo-o+o	(('', '0011101'))
>+[oo<-]-o	(('', '0011110'))
>+[oo<-]o	(('', '0011111'))
+o+o-ooooo	(('', '0100000'))
+o+o-oooo+o	(('', '0100001'))
+[o+o-o<+o]	(('', '0100010'))
>+[o+[o<+]]	(('', '0100011'))
>+[o<-o-o]	(('', '0100100'))
>+[o+[o<+]+]	(('', '0100101'))
>>+[[<+]>o>]	(('', '0100110'))
+o+o-oo+ooo	(('', '0100111'))
>+[o<-o-]oo	(('', '0101000'))
>+[o<-o-]o+o	(('', '0101001'))
>>+[o<-o-]	(('', '0101010'))
>+[o+o<+]o	(('', '0101011'))
+o>-o>+[o<o]	(('', '0101100'))
>+[o<-o-o+]	(('', '0101101'))
+o+o-o+ooo-o	(('', '0101110'))
>+[o<-o>o<]	(('', '0101111'))
>+>+[o<+o]	(('', '0110000'))
+o+oo-ooo+o	(('', '0110001'))
>+[[o<-]+>>]	(('', '0110010'))
+[o+oo<+o]	(('', '0110011'))
-[>+o<oo-o]	(('', '0110100'))
>+>+[[o+]<+]	(('', '0110101'))
>+[o<-oo-]	(('', '0110110'))
+[o+oo<+]o	(('', '0110111'))
+o+[ooo-]	(('', '0111000'))
+o+ooo-oo+o	(('', '0111001'))
+[[o<-]>>-]	(('', '0111010'))
+o+ooo-o+oo	(('', '0111011'))
>+[o[<]-o]	(('', '0111100'))
+o+oooo-o+o	(('', '0111101'))
+o+ooooo-o	(('', '0111110'))
>>+[o<-o]	(('', '0111111'))
>>-[o<+o]	(('', '1000000'))
-o-ooooo+o	(('', '1000001'))
-o-oooo+o-o	(('', '1000010'))
>-[o[<]+o]	(('', '1000011'))
+[+o-oo<+o]	(('', '1000100'))
-[[o<+]>>+]	(('', '1000101'))
-o-ooo+oo-o	(('', '1000110'))
-o-[ooo+]	(('', '1000111'))
-[o-oo<-]o	(('', '1001000'))
>+[+o<+oo]	(('', '1001001'))
>->-[[o-]<-]	(('', '1001010'))
+[>-o<oo+o]	(('', '1001011'))
+>>-[o<+o]	(('', '1001100'))
>-[[o<+]->>]	(('', '1001101'))
-o-oo+ooo-o	(('', '1001110'))
>->-[o<-o]	(('', '1001111'))
>-[o<+o>o<]	(('', '1010000'))
-o-o+o-ooo+o	(('', '1010001'))
>-[o<+o+o-]	(('', '1010010'))
-o>+o>-[o<o]	(('', '1010011'))
>-[o-o<-]o	(('', '1010100'))
>>+[+o<+o]	(('', '1010101'))
>+[+o<+o]o-o	(('', '1010110'))
>+[+o<+o]oo	(('', '1010111'))
+>-[o-o<+o]	(('', '1011000'))
>>-[[<-]>o>]	(('', '1011001'))
>+[-[o<-]-o]	(('', '1011010'))
>-[o<+o+o]	(('', '1011011'))
>-[o-[o<-]]	(('', '1011100'))
-[o-o+o<-o]	(('', '1011101'))
-o-o+oooo-o	(('', '1011110'))
-o-o+ooooo	(('', '1011111'))
>-[oo<+]o	(('', '1100000'))
>-[oo<+]+o	(('', '1100001'))
-oo-ooo+o-o	(('', '1100010'))
-oo-ooo+oo	(('', '1100011'))
>-[o<-o-o]	(('', '1100100'))
>-oo-[o<+o+]	(('', '1100101'))
+[+oo-o<+o]	(('', '1100110'))
->-[oo<-]o	(('', '1100111'))
>-[o<-o-]oo	(('', '1101000'))
+[>-oo<o+o]	(('', '1101001'))
>>-[o<-o-]	(('', '1101010'))
>-o[o<+o+]o	(('', '1101011'))
-[oo-o<-]o	(('', '1101100'))
>+[+o<-o-o]	(('', '1101101'))
-[oo-o<-o]	(('', '1101110'))
-oo-o+oooo	(('', '1101111'))
-[ooo-o]	(('', '1110000'))
-[ooo-]-o	(('', '1110001'))
-ooo-oo+o-o	(('', '1110010'))
->>-[o<-o]	(('', '1110011'))
>-o[o<-o-]o	(('', '1110100'))
>-oo[o<+o+]	(('', '1110101'))
>-[o<-oo-]	(('', '1110110'))
+[+ooo<+o]	(('', '1110111'))
-o[ooo-]	(('', '1111000'))
-oooo-oo+o	(('', '1111001'))
>-oo[o<-o-]	(('', '1111010'))
-oooo-o+oo	(('', '1111011'))
-ooooo-oo	(('', '1111100'))
-ooooo-o+o	(('', '1111101'))
-oooooo-o	(('', '1111110'))
-ooooooo	(('', '1111111'))
+[<+]+o	(('0', '1'), ('1', '0'))
>>o	(('010', '0'), ('1', ''))
+[-ooo]	(('0', '000'), ('1', ''))
+[>+o<-o]	(('0', '001'), ('1', ''))
+[-o<-o]	(('0', '010'), ('1', ''))
+[<+o+oo]	(('0', '011'), ('1', ''))
+[o-o]	(('0', '100'), ('1', ''))
+[o<+o+]	(('0', '101'), ('1', ''))
+o[o-]	(('0', '110'), ('1', ''))
+>-[<+o]	(('', '10'), ('0', ''), ('10', ''))
+[>+o<+]	(('', '01'), ('01', ''), ('1', ''))
>oo>o	(('101', '001'))
[o>]	(('010', '010'))
>o>o<o	(('101', '010'))
-[o>]	(('110', '010'))
>o>oo	(('101', '011'))
>-[o+]	(('00', ''), ('01', '01'))
>-[<+o]	(('00', ''), ('01', '10'))
-[>+o-]	(('00', ''), ('10', '10'))
->-[<+o]	(('00', ''), ('11', '10'))
>-[+o<]	(('00', ''), ('01', '11'))
-[+o>]	(('00', ''), ('10', '11'))
-[>oo]	(('00', ''), ('11', '11'))
-[>o<<+]	(('01', ''), ('11', '10'))
<+oo	(('', '00'), ('00', '00'))
<+o[>]<o	(('', '00'), ('11', '01'))
+o<+o	(('', '00'), ('00', '10'))
>+o>+o	(('', '00'), ('10', '10'))
[o-]>+oo	(('', '00'), ('11', '10'))
+[<]>oo	(('', '00'), ('11', '11'))
-[<]+o>o	(('', '01'), ('00', '00'))
<+o+o	(('', '01'), ('00', '01'))
+[o+]>o	(('', '01'), ('00', '10'))
+o<-o	(('', '01'), ('00', '11'))
+[o+]>oo	(('', '01'), ('11', '11'))
-[o-]>oo	(('', '10'), ('00', '00'))
-o<+o	(('', '10'), ('10', '00'))
-[o-]>o	(('', '10'), ('11', '01'))
<-o-o	(('', '10'), ('00', '10'))
+[<]-o>o	(('', '10'), ('11', '11'))
-[<]>oo	(('', '11'), ('00', '00'))
[o+]>-oo	(('', '11'), ('00', '01'))
>-o>-o	(('', '11'), ('01', '01'))
-o<-o	(('', '11'), ('10', '01'))
<-o[>]<o	(('', '11'), ('00', '10'))
<-oo	(('', '11'), ('00', '11'))
-[-ooo<-]	(('', '000000'), ('0', ''))
>+[<-[>]+<o]	(('', '000001'), ('0', ''))
-[>+o[<]>>o]	(('', '000010'), ('0', ''))
-[>+oo<-oo]	(('', '000011'), ('0', ''))
-[-oo<+o+o]	(('', '000100'), ('0', ''))
-[>+o>+o<o+]	(('', '000101'), ('0', ''))
-[>+oo>+o<+]	(('', '000110'), ('0', ''))
-[>+ooo<-]	(('', '000111'), ('0', ''))
-[-oo<-o]o	(('', '001000'), ('0', ''))
-[-oo+o<-]	(('', '001001'), ('0', ''))
<+[>-[<o<]o>]	(('', '001010'), ('0', ''))
-[>>+o[o<-]o]	(('', '001011'), ('0', ''))
-[-oo<-oo]	(('', '001100'), ('0', ''))
-[>+[o<<+]+]	(('', '001101'), ('0', ''))
-[>+oo<o-]	(('', '001110'), ('0', ''))
-[>+o[o<]>]	(('', '001111'), ('0', ''))
-[-o<-o]ooo	(('', '010000'), ('0', ''))
-[<+[>]+o<o]	(('', '010001'), ('0', ''))
-[>+o<o-oo]	(('', '010010'), ('0', ''))
-[>>+[o<<]+]	(('', '010011'), ('0', ''))
-[-o+o-<-]oo	(('', '010100'), ('0', ''))
-[+[o<+]+o]	(('', '010101'), ('0', ''))
-[>>+[o<<]-]	(('', '010110'), ('0', ''))
-[-o+o<-]oo	(('', '010111'), ('0', ''))
-[>+o-<oo-]	(('', '011000'), ('0', ''))
-[>+>+o[<]+]	(('', '011001'), ('0', ''))
-[>+o+o+<o-]	(('', '011010'), ('0', ''))
-[-o+oo<-]	(('', '011011'), ('0', ''))
-[>+o<oo-]	(('', '011100'), ('0', ''))
-[-o+o<-oo]	(('', '011101'), ('0', ''))
-[-o<-oooo]	(('', '011110'), ('0', ''))
-[>+[o<]>o]	(('', '011111'), ('0', ''))
-[o-oooo]	(('', '100000'), ('0', ''))
-o[-oo+<-]o	(('', '100001'), ('0', ''))
-[o-o<+oo+]	(('', '100010'), ('0', ''))
-[o>+oo<-]	(('', '100011'), ('0', ''))
-[o>>+o<+o+]	(('', '100101'), ('0', ''))
-o[>+[o<-]]	(('', '100110'), ('0', ''))
+[+o[<+]oo]	(('', '100111'), ('0', ''))
-[o-o<-]oo	(('', '101000'), ('0', ''))
-o[-o+o<+o+]	(('', '101001'), ('0', ''))
-[o>+o<o-]	(('', '101010'), ('0', ''))
-o[-o+o<-]o	(('', '101011'), ('0', ''))
-[o-o<-o]o	(('', '101100'), ('0', ''))
-[o-o<-oo]	(('', '101110'), ('0', ''))
-o[<+[o>]-]	(('', '101111'), ('0', ''))
-[oo-oo]	(('', '110000'), ('0', ''))
-[oo>+o<-]	(('', '110001'), ('0', ''))
-o[o-o<+o+]	(('', '110010'), ('0', ''))
-[oo[<]+]	(('', '110011'), ('0', ''))
-o[o-o<-]o	(('', '110100'), ('0', ''))
-oo[-o+o<-]	(('', '110101'), ('0', ''))
-[oo<+o+o]	(('', '110111'), ('0', ''))
-o[oo<+]>o	(('', '111001'), ('0', ''))
-oo[o-o<-]	(('', '111010'), ('0', ''))
-o[oo<+o+]	(('', '111011'), ('0', ''))
-oo[oo-]	(('', '111100'), ('0', ''))
-ooo[o<+o+]	(('', '111101'), ('0', ''))
-oooo[o-]	(('', '111110'), ('0', ''))
+oooo[o+]	(('', '000001'), ('1', ''))
+ooo[o<-o-]	(('', '000010'), ('1', ''))
+oo[oo+]	(('', '000011'), ('1', ''))
+o[oo<-o-]	(('', '000100'), ('1', ''))
+oo[o+o<+]	(('', '000101'), ('1', ''))
+o[oo<-]>o	(('', '000110'), ('1', ''))
+[oo<-o-o]	(('', '001000'), ('1', ''))
+oo[+o-o<+]	(('', '001010'), ('1', ''))
+o[o+o<+]o	(('', '001011'), ('1', ''))
+[oo[<]-]	(('', '001100'), ('1', ''))
+o[o+o<-o-]	(('', '001101'), ('1', ''))
+[oo>-o<+]	(('', '001110'), ('1', ''))
+[oo+oo]	(('', '001111'), ('1', ''))
+o[<-[o>]+]	(('', '010000'), ('1', ''))
+[o+o<+oo]	(('', '010001'), ('1', ''))
+[o+o<+o]o	(('', '010011'), ('1', ''))
+o[+o-o<+]o	(('', '010100'), ('1', ''))
+[o>-o<o+]	(('', '010101'), ('1', ''))
+o[+o-o<-o-]	(('', '010110'), ('1', ''))
+[o+o<+]oo	(('', '010111'), ('1', ''))
+o[+[oo-o]]	(('', '011000'), ('1', ''))
+o[>-[o<+]]	(('', '011001'), ('1', ''))
+[o>>-o<-o-]	(('', '011010'), ('1', ''))
+[o>-oo<+]	(('', '011100'), ('1', ''))
+[o+o<-oo-]	(('', '011101'), ('1', ''))
+o[+oo-<+]o	(('', '011110'), ('1', ''))
+[o+oooo]	(('', '011111'), ('1', ''))
+[>-[o<]>o]	(('', '100000'), ('1', ''))
+[+o<+oooo]	(('', '100001'), ('1', ''))
+[+o-o<+oo]	(('', '100010'), ('1', ''))
+[>-o<oo+]	(('', '100011'), ('1', ''))
+[+o-oo<+]	(('', '100100'), ('1', ''))
+[>-o-o-<o+]	(('', '100101'), ('1', ''))
+[>->-o[<]-]	(('', '100110'), ('1', ''))
+[>-o+<oo+]	(('', '100111'), ('1', ''))
+[+o-o<+]oo	(('', '101000'), ('1', ''))
+[>>-[o<<]+]	(('', '101001'), ('1', ''))
+[-[o<-]-o]	(('', '101010'), ('1', ''))
+[+o-o+<+]oo	(('', '101011'), ('1', ''))
+[>>-[o<<]-]	(('', '101100'), ('1', ''))
+[>-o<o+oo]	(('', '101101'), ('1', ''))
+[<-[>]-o<o]	(('', '101110'), ('1', ''))
+[+o<+o]ooo	(('', '101111'), ('1', ''))
+[>-o[o<]>]	(('', '110000'), ('1', ''))
+[>-oo<o+]	(('', '110001'), ('1', ''))
+[>-[o<<-]-]	(('', '110010'), ('1', ''))
+[+oo<+oo]	(('', '110011'), ('1', ''))
+[>>+>-[o<+]]	(('', '110100'), ('1', ''))
<-[>+[<o<]o>]	(('', '110101'), ('1', ''))
+[+oo-o<+]	(('', '110110'), ('1', ''))
+[+oo<+o]o	(('', '110111'), ('1', ''))
+[>-ooo<+]	(('', '111000'), ('1', ''))
+[>-oo>-o<-]	(('', '111001'), ('1', ''))
+[>-o>-o<o-]	(('', '111010'), ('1', ''))
+[+oo<-o-o]	(('', '111011'), ('1', ''))
+[>-oo<+oo]	(('', '111100'), ('1', ''))
+[>-o[<]>>o]	(('', '111101'), ('1', ''))
>-[<+[>]-<o]	(('', '111110'), ('1', ''))
+[+ooo<+]	(('', '111111'), ('1', ''))
>-[<+oo]o	(('', '00000'), ('00', ''))
>-[<+oo+]o	(('', '00001'), ('00', ''))
>-[>+[<]+o]	(('', '00010'), ('00', ''))
->-[-o<-o+o]	(('', '00101'), ('00', ''))
->-[<-oo]o	(('', '00111'), ('00', ''))
>-[-o<-o]	(('', '01010'), ('00', ''))
>-[<+o+o]o	(('', '01011'), ('00', ''))
>-[o<+o]	(('', '10000'), ('00', ''))
->-[o<-o]	(('', '10011'), ('00', ''))
>-[o<+o+]	(('', '10101'), ('00', ''))
->-[o<-]oo	(('', '10111'), ('00', ''))
-[oo+<+]o	(('', '11001'), ('00', ''))
->-oo[o<-]	(('', '11101'), ('00', ''))
>+ooooo	(('', '00000'), ('01', ''))
>+oooo<-o	(('', '00001'), ('01', ''))
>+ooo<-o>o	(('', '00010'), ('01', ''))
>+o[oo+]	(('', '00011'), ('01', ''))
>+oo<-oo>o	(('', '00110'), ('01', ''))
>+[oo+o]	(('', '00111'), ('01', ''))
>+o<-o>ooo	(('', '01000'), ('01', ''))
+>+[o+o<o]	(('', '01001'), ('01', ''))
>+[<+o+o]o	(('', '01011'), ('01', ''))
+>+[o<+o]	(('', '01100'), ('01', ''))
>+o<-ooo>o	(('', '01110'), ('01', ''))
>+[o<-o]	(('', '01111'), ('01', ''))
-o>+oooo	(('', '10000'), ('01', ''))
-o>+ooo<o	(('', '10001'), ('01', ''))
-o>+oo<o>o	(('', '10010'), ('01', ''))
-o>+oo<oo	(('', '10011'), ('01', ''))
-o>+o<ooo	(('', '10111'), ('01', ''))
-oo>+oo<o	(('', '11001'), ('01', ''))
-oo>+o<oo	(('', '11011'), ('01', ''))
-ooo>+o<o	(('', '11101'), ('01', ''))
-oooo>+o	(('', '11110'), ('01', ''))
+oooo>-o	(('', '00001'), ('10', ''))
+ooo>-o<o	(('', '00010'), ('10', ''))
+oo>-o<oo	(('', '00100'), ('10', ''))
+oo>-oo<o	(('', '00110'), ('10', ''))
+o>-o<ooo	(('', '01000'), ('10', ''))
+o>-oo<oo	(('', '01100'), ('10', ''))
+o>-oo<o>o	(('', '01101'), ('10', ''))
+o>-ooo<o	(('', '01110'), ('10', ''))
+o>-oooo	(('', '01111'), ('10', ''))
>-o<+ooo>o	(('', '10001'), ('10', ''))
>-[<-o-o]o	(('', '10100'), ('10', ''))
->-[o-o<o]	(('', '10110'), ('10', ''))
>-o<+o>ooo	(('', '10111'), ('10', ''))
>-[oo-o]	(('', '11000'), ('10', ''))
>-oo<+oo>o	(('', '11001'), ('10', ''))
>-o[oo-]	(('', '11100'), ('10', ''))
>-ooo<+o>o	(('', '11101'), ('10', ''))
>-oooo<+o	(('', '11110'), ('10', ''))
>-ooooo	(('', '11111'), ('10', ''))
+>+oo[o<+]	(('', '00010'), ('11', ''))
+[oo+]>+o	(('', '00110'), ('11', ''))
+>+[o<+]oo	(('', '01000'), ('11', ''))
>+[<-o-o]o	(('', '10100'), ('11', ''))
+>+[<+oo]o	(('', '11000'), ('11', ''))
+>+[+o<+o-o]	(('', '11010'), ('11', ''))
>+[>-[<]-o]	(('', '11101'), ('11', ''))
>+[<-oo-]o	(('', '11110'), ('11', ''))
>+[<-oo]o	(('', '11111'), ('11', ''))
>>>+o>-o	(('', '01'), ('00010', ''))
>>>-o>+o	(('', '10'), ('11101', ''))
+[<+o]	(('', '0'), ('0', '0'), ('1', ''))
+[>+<+]>o	(('', '1'), ('0', '0'), ('1', ''))
+[<-o]	(('', '1'), ('0', '1'), ('1', ''))
-o[o+]	(('0', ''), ('1', '001'))
-[o<-o-]	(('0', ''), ('1', '010'))
-[o+o]	(('0', ''), ('1', '011'))
-[<-o-oo]	(('0', ''), ('1', '100'))
-[+o<+o]	(('0', ''), ('1', '101'))
-[>-o<+o]	(('0', ''), ('1', '110'))
-[+ooo]	(('0', ''), ('1', '111'))
>+o<oo	(('', '0'), ('0', '000'))
[<]+o<oo	(('', '0'), ('1', '000'))
[o<+]+o	(('', '0'), ('0', '001'))
[<+oo]+o	(('', '0'), ('1', '001'))
[o+]+o	(('', '0'), ('0', '010'))
>+o<[o>]	(('', '0'), ('1', '010'))
[o<-o]+o	(('', '0'), ('0', '011'))
[o-]+o	(('', '0'), ('1', '100'))
+o-[o+]	(('', '0'), ('0', '101'))
[+oo>]+o	(('', '0'), ('0', '110'))
[oo>]+o	(('', '0'), ('1', '110'))
+o-[+oo]	(('', '0'), ('0', '111'))
[o<+o]-o	(('', '1'), ('0', '000'))
-o+[-oo]	(('', '1'), ('1', '000'))
[oo>]-o	(('', '1'), ('0', '001'))
[-oo>]-o	(('', '1'), ('1', '001'))
[o<-]-o	(('', '1'), ('0', '010'))
-o+[o-]	(('', '1'), ('1', '010'))
[o+]-o	(('', '1'), ('0', '011'))
>-o<oo	(('', '1'), ('0', '100'))
>+[+o<o]	(('', '1'), ('0', '101'))
[o-]-o	(('', '1'), ('1', '101'))
[<-oo]-o	(('', '1'), ('0', '110'))
[<]-o<oo	(('', '1'), ('0', '111'))
[>]<o	(('0', '0'), ('01', '1'))
[>+o<-]	(('0', '0'), ('1', '01'))
o-[+o]	(('0', '0'), ('1', '11'))
>-[-o<-]	(('', '000'), ('0', '0'))
-[<+oo]+o	(('', '001'), ('0', '0'))
-[o-]+o	(('', '100'), ('0', '0'))
-[o<+]+o	(('', '101'), ('0', '0'))
-[oo>]+o	(('', '110'), ('0', '0'))
-[o<-o]+o	(('', '111'), ('0', '0'))
-[>]<o	(('1', '0'), ('11', '1'))
>+o[<+]o	(('0', '00'), ('1', '0'))
+[o>]+o	(('0', '10'), ('1', '0'))
+[o<-]+o	(('0', '11'), ('1', '0'))
>+o<+oo	(('', '000'), ('1', '0'))
+[o<+]+o	(('', '001'), ('1', '0'))
+[o+]+o	(('', '010'), ('1', '0'))
+[o<-o]+o	(('', '011'), ('1', '0'))
-o-[o+]	(('', '101'), ('1', '0'))
-o-[+oo]	(('', '111'), ('1', '0'))
+[>]<o	(('0', '1'), ('00', '0'))
-[o<+]-o	(('0', '1'), ('1', '00'))
-[o>]-o	(('0', '1'), ('1', '01'))
>+[+o<-]	(('0', '1'), ('1', '11'))
+o+[-oo]	(('', '000'), ('0', '1'))
>+[<+o+]o	(('', '001'), ('0', '1'))
+o+[o-]	(('', '010'), ('0', '1'))
-[o<+o]-o	(('', '100'), ('0', '1'))
-[o-]-o	(('', '101'), ('0', '1'))
+>-[o<+]	(('', '110'), ('0', '1'))
>-o<-oo	(('', '111'), ('0', '1'))
o+[-o]	(('0', '00'), ('1', '1'))
[>-o<+]	(('0', '10'), ('1', '1'))
+[o<+o]-o	(('', '000'), ('1', '1'))
+[oo>]-o	(('', '001'), ('1', '1'))
+[o<-]-o	(('', '010'), ('1', '1'))
+[o+]-o	(('', '011'), ('1', '1'))
+[<-oo]-o	(('', '110'), ('1', '1'))
>+[+o<+]	(('', '111'), ('1', '1'))
[>>]<o	(('00', '0'), ('000', ''))
>->-[<-o]	(('', '011'), ('000', ''))
[>]<+o	(('00', '1'), ('001', ''))
>>+ooo	(('', '000'), ('001', ''))
>>+oo<-o	(('', '001'), ('001', ''))
>>+o<-oo	(('', '011'), ('001', ''))
>-o>+o<o	(('', '101'), ('001', ''))
[>]<-o	(('01', '0'), ('010', ''))
>+oo>-o	(('', '001'), ('010', ''))
>+o>-o<o	(('', '010'), ('010', ''))
>+o>-oo	(('', '011'), ('010', ''))
>-o>+oo	(('', '100'), ('101', ''))
>-oo>+o	(('', '110'), ('101', ''))
>>-o<+oo	(('', '100'), ('110', ''))
>>-oo<+o	(('', '110'), ('110', ''))
>>-ooo	(('', '111'), ('110', ''))
>+>+[<+o]	(('', '100'), ('111', ''))
